2100.20669	3E-5	2100.20669	6.24475524475526E-5	1.24895104895105E-5
2098.27813	6E-5	2098.27813	4.09790209790211E-5	8.19580419580421E-6
2096.34956	5E-5	2096.34956	2.31701631701632E-5	4.63403263403265E-6
2094.421	3E-5	2094.421	9.02097902097906E-6	1.80419580419581E-6
2092.49243	0	2092.49243	-1.46853146853144E-6	-2.93706293706289E-7
2090.56387	-5E-5	2090.56387	-8.29836829836828E-6	-1.65967365967366E-6
2088.6353	-2E-5	2088.6353	-1.6037296037296E-5	-3.20745920745921E-6
2086.70674	0	2086.70674	-1.29137529137529E-5	-2.58275058275058E-6
2084.77817	-1E-5	2084.77817	-1.03496503496503E-5	-2.06993006993007E-6
2082.84961	0	2082.84961	-4.21911421911422E-6	-8.43822843822844E-7
2080.92104	2E-5	2080.92104	3.17016317016317E-6	6.34032634032634E-7
2078.99248	0	2078.99248	-1.72494172494172E-6	-3.44988344988345E-7
2077.06392	-3E-5	2077.06392	-6.10722610722611E-6	-1.22144522144522E-6
2075.13535	0	2075.13535	-6.82983682983683E-6	-1.36596736596737E-6
2073.20679	0	2073.20679	-7.08624708624709E-6	-1.41724941724942E-6
2071.27822	-2E-5	2071.27822	-3.75291375291375E-6	-7.50582750582751E-7
2069.34966	0	2069.34966	9.0909090909091E-7	1.81818181818182E-7
2067.42109	1E-5	2067.42109	-3.72960372960372E-7	-7.45920745920744E-8
2065.49253	1E-5	2065.49253	-2.56410256410256E-6	-5.12820512820513E-7
2063.56396	0	2063.56396	-3.35664335664336E-6	-6.71328671328671E-7
2061.6354	-3E-5	2061.6354	-1.23076923076923E-5	-2.46153846153846E-6
2059.70684	-3E-5	2059.70684	-2.7016317016317E-5	-5.4032634032634E-6
2057.77827	0	2057.77827	-2.8997668997669E-5	-5.7995337995338E-6
2055.84971	-4E-5	2055.84971	-2.37762237762238E-5	-4.75524475524476E-6
2053.92114	-6E-5	2053.92114	-2.01398601398601E-5	-4.02797202797203E-6
2051.99258	-1E-5	2051.99258	-1.36130536130536E-5	-2.72261072261072E-6
2050.06401	4E-5	2050.06401	-8.04195804195805E-6	-1.60839160839161E-6
2048.13545	0	2048.13545	-5.38461538461538E-6	-1.07692307692308E-6
2046.20688	-3E-5	2046.20688	1.32867132867133E-6	2.65734265734266E-7
2044.27832	0	2044.27832	-2.004662004662E-6	-4.00932400932401E-7
2042.34976	0	2042.34976	-1.35664335664336E-5	-2.71328671328671E-6
2040.42119	-2E-5	2040.42119	-2.03496503496504E-5	-4.06993006993007E-6
2038.49263	-2E-5	2038.49263	-1.7016317016317E-5	-3.4032634032634E-6
2036.56406	-3E-5	2036.56406	-1.17482517482517E-5	-2.34965034965035E-6
2034.6355	-1E-5	2034.6355	-1.15617715617716E-5	-2.31235431235431E-6
2032.70693	0	2032.70693	-8.88111888111888E-6	-1.77622377622378E-6
2030.77837	0	2030.77837	-5.78088578088578E-6	-1.15617715617716E-6
2028.8498	1E-5	2028.8498	-1.04895104895105E-6	-2.0979020979021E-7
2026.92124	-1E-5	2026.92124	3.96270396270396E-6	7.92540792540793E-7
2024.99268	-1E-5	2024.99268	3.72960372960373E-7	7.45920745920746E-8
2023.06411	0	2023.06411	3.72960372960373E-7	7.45920745920746E-8
2021.13555	2E-5	2021.13555	1.63170163170163E-7	3.26340326340326E-8
2019.20698	0	2019.20698	-8.62470862470862E-7	-1.72494172494172E-7
2017.27842	-2E-5	2017.27842	3.00699300699301E-6	6.01398601398602E-7
2015.34985	1E-5	2015.34985	-3.75291375291375E-6	-7.50582750582751E-7
2013.42129	-1E-5	2013.42129	-1.18181818181818E-5	-2.36363636363636E-6
2011.49272	-1E-5	2011.49272	-1.63403263403263E-5	-3.26806526806527E-6
2009.56416	-1E-5	2009.56416	-1.74825174825175E-5	-3.4965034965035E-6
2007.6356	-5E-5	2007.6356	-1.83682983682984E-5	-3.67365967365967E-6
2005.70703	-1E-5	2005.70703	-1.88578088578089E-5	-3.77156177156177E-6
2003.77847	0	2003.77847	-9.34731934731935E-6	-1.86946386946387E-6
2001.8499	-1E-5	2001.8499	-2.33100233100233E-8	-4.66200466200465E-9
1999.92134	1E-5	1999.92134	1.09090909090909E-5	2.18181818181818E-6
1997.99277	3E-5	1997.99277	2.16550116550117E-5	4.33100233100233E-6
1996.06421	4E-5	1996.06421	1.54079254079254E-5	3.08158508158508E-6
1994.13564	3E-5	1994.13564	6.64335664335662E-6	1.32867132867132E-6
1992.20708	4E-5	1992.20708	6.78321678321678E-6	1.35664335664336E-6
1990.27852	5E-5	1990.27852	3.2051282051282E-5	6.4102564102564E-6
1988.34995	8E-5	1988.34995	1.21724941724942E-4	2.43449883449883E-5
1986.42139	2.3E-4	1986.42139	3.12470862470862E-4	6.24941724941725E-5
1984.49282	5E-4	1984.49282	6.13193473193473E-4	1.22638694638695E-4
1982.56426	8.9E-4	1982.56426	9.90722610722611E-4	1.98144522144522E-4
1980.63569	0.0014	1980.63569	0.00139179487179487	2.78358974358974E-4
1978.70713	0.00189	1978.70713	0.0017616317016317	3.5232634032634E-4
1976.77856	0.0022	1976.77856	0.00205433566433566	4.10867132867133E-4
1974.85	0.00228	1974.85	0.00222867132867133	4.45734265734266E-4
1972.92144	0.00222	1972.92144	0.00225706293706294	4.51412587412587E-4
1970.99287	0.00213	1970.99287	0.00214547785547786	4.29095571095571E-4
1969.06431	0.00199	1969.06431	0.00194114219114219	3.88228438228438E-4
1967.13574	0.00171	1967.13574	0.00169731934731935	3.39463869463869E-4
